"period","iso_alpha_3_code","parameter","0.1","0.5","0.9","estimate_version"
"2010, 2015","BGD","arr",4.05103749957333,7.07393205496609,9.9143665335888,"estimates_12-19-22"
"2010, 2015","BGD","percent_change_in_mmr",18.3355881873358,29.7912053400313,39.0866805839939,"estimates_12-19-22"
"2015, 2020","BGD","arr",7.64819570922055,10.7708773208283,13.8953775286092,"estimates_12-19-22"
"2015, 2020","BGD","percent_change_in_mmr",31.7784560207917,41.640256997331,50.0810190593503,"estimates_12-19-22"
"2016, 2020","BGD","arr",8.37457454023356,11.5693788619769,14.8271615456196,"estimates_12-19-22"
"2016, 2020","BGD","percent_change_in_mmr",28.4649732026442,37.0465835448296,44.7380983983033,"estimates_12-19-22"
"2000, 2015","BRB","arr",-2.24208634154601,-0.267297112513978,3.07034343586126,"estimates_12-19-22"
"2000, 2015","BRB","percent_change_in_mmr",-39.9777035780896,-4.09092050728315,36.9064420727984,"estimates_12-19-22"
"2000, 2020","BRB","arr",-1.12500116872695,0.958522741398133,3.79877697440876,"estimates_12-19-22"
"2000, 2020","BRB","percent_change_in_mmr",-25.2323038992169,17.4449248282772,53.2219148537979,"estimates_12-19-22"
"2010, 2020","BRB","arr",-0.116434801593127,3.19429153027795,6.61912482184404,"estimates_12-19-22"
"2010, 2020","BRB","percent_change_in_mmr",-1.17115356680798,27.3436322742107,48.4136183694459,"estimates_12-19-22"
"2000, 2005","BRB","arr",-0.393822558711726,2.10491662046626,6.66907666080887,"estimates_12-19-22"
"2000, 2005","BRB","percent_change_in_mmr",-1.98863001283397,9.98967669264498,28.3555025805364,"estimates_12-19-22"
"2005, 2010","BRB","arr",-7.62636498740203,-4.69288710420492,-0.440267440299159,"estimates_12-19-22"
"2005, 2010","BRB","percent_change_in_mmr",-46.4213516452311,-26.4458997050097,-2.2257454488155,"estimates_12-19-22"
"2010, 2015","BRB","arr",-2.00565717119463,1.88742579440169,6.08358539680367,"estimates_12-19-22"
"2010, 2015","BRB","percent_change_in_mmr",-10.54835702914,9.00551441095963,26.2271370189303,"estimates_12-19-22"
"2015, 2020","BRB","arr",0.435104038167291,4.51054985459304,8.7431652034396,"estimates_12-19-22"
"2015, 2020","BRB","percent_change_in_mmr",2.15202261581148,20.1904881098581,35.4130791867702,"estimates_12-19-22"
"2016, 2020","BRB","arr",0.704567708945276,5.06164218062997,9.43388726001132,"estimates_12-19-22"
"2016, 2020","BRB","percent_change_in_mmr",2.77892786189397,18.328549265574,31.4327719236641,"estimates_12-19-22"
"2000, 2015","BLR","arr",17.0963914352964,19.4858817289108,21.9263987068615,"estimates_12-19-22"
"2000, 2015","BLR","percent_change_in_mmr",92.3039172006571,94.6221538451993,96.2707378766264,"estimates_12-19-22"
"2000, 2020","BLR","arr",13.0293652301689,15.4570352150925,18.1013448009812,"estimates_12-19-22"
